Comment,Designator,Footprint,LCSC
MCR16,D3,MCR16,
A+,H4,PinHeader_1x01_P1.00mm_Vertical,
0.01uF,CREF1,Capacitor_SMD:C_0402_1005Metric,
O+,H13,PinHeader_1x01_P1.00mm_Vertical,
4.42M,RUV2,Resistor_SMD:R_0402_1005Metric,
0.1uF,CBYP1,Capacitor_SMD:C_0402_1005Metric,
4.7uF,CHVR1,Capacitor_SMD:C_0402_1005Metric,
10M,ROC1,Resistor_SMD:R_0402_1005Metric,
5.62M,ROC12,Resistor_SMD:R_0402_1005Metric,
4.22M,ROK2,Resistor_SMD:R_0402_1005Metric,
DC+,H1,PinHeader_1x01_P1.00mm_Vertical,
BQ25504RGTT,U1,RGT16_1P7X1P7,
4.7uF,CSTOR1,Capacitor_SMD:C_0402_1005Metric,
SKTAACE010,S1,SKTAACE010,
3313J-1-100E,R1,TRIM_3313J-1-100E,
DC-,H2,PinHeader_1x01_P1.00mm_Vertical,
4.42M,ROK1,Resistor_SMD:R_0402_1005Metric,
100,ROK4,Resistor_SMD:R_0402_1005Metric,
MM3Z5V1W,D1,D_SOD-323,
47uF,C_AC1,Capacitor_SMD:C_0603_1608Metric,
4.02M,ROV2,Resistor_SMD:R_0402_1005Metric,
KMB24F,KMB24F1,DIO-BG-SMD_MBF-TL,
C+,H7,PinHeader_1x01_P1.00mm_Vertical,
4.42M,ROC2,Resistor_SMD:R_0402_1005Metric,
AC+,H5,PinHeader_1x01_P1.00mm_Vertical,
C-,H6,PinHeader_1x01_P1.00mm_Vertical,
3313J-1-204E,R2,TRIM_3313J-1-100E,
22uH,L1,CMLW4030S220MST,
5.6M,RUV1,Resistor_SMD:R_0402_1005Metric,
GND,H9,PinHeader_1x01_P1.00mm_Vertical,
MM3Z5V1W,D2,D_SOD-323,
5.9M,ROV1,Resistor_SMD:R_0402_1005Metric,
O-,H14,PinHeader_1x01_P1.00mm_Vertical,
1.43M,ROK3,Resistor_SMD:R_0402_1005Metric,
A-,H3,PinHeader_1x01_P1.00mm_Vertical,
