Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C_AC1,47 μF,C_0603_1608Metric,94.6,-105.45,-90.0,top
CBYP1,0.01 μF,C_0402_1005Metric,99.1,-101.5,90.0,top
CHVR1,4.7 μF,C_0402_1005Metric,96.65,-103.05,-90.0,top
CREF1,0.01 μF,C_0402_1005Metric,98.875,-110.1,90.0,top
CSTOR1,4.7 μF,C_0402_1005Metric,98.0,-101.5,90.0,top
D1,MM3Z5V1W,D_SOD-323,94.45,-103.0,0.0,top
D2,MM3Z5V1W,D_SOD-323,90.9,-109.45,90.0,top
D3,Q_SCR_KAG,SCR_small,105.23375,-111.2,180.0,top
H1,DC+,PinHeader_1x01_P1.00mm_Vertical,91.325,-102.625,0.0,top
H2,DC-,PinHeader_1x01_P1.00mm_Vertical,91.325,-104.725,0.0,top
H3,A-,PinHeader_1x01_P1.00mm_Vertical,91.225,-112.7,0.0,top
H4,A+,PinHeader_1x01_P1.00mm_Vertical,97.85,-112.725,0.0,top
H5,AC+,PinHeader_1x01_P1.00mm_Vertical,91.325,-100.5,0.0,top
H6,C-,PinHeader_1x01_P1.00mm_Vertical,104.5,-107.8,180.0,top
H7,C+,PinHeader_1x01_P1.00mm_Vertical,106.9,-107.8,180.0,top
H9,GND,PinHeader_1x01_P1.00mm_Vertical,98.5,-99.3,90.0,top
H13,O+,PinHeader_1x01_P1.00mm_Vertical,106.9,-109.9,180.0,top
H14,O-,PinHeader_1x01_P1.00mm_Vertical,106.9,-112.7,180.0,top
KMB24F1,~,DIO-BG-SMD_MBF-TL,94.6,-109.0,90.0,top
L1,22 μH,L_Changjiang_FNR4026S,94.9,-99.7,0.0,top
R1,3313J-1-100E,TRIM_3313J-1-100E,101.65,-99.9,0.0,top
R2,3313J-1-204E,TRIM_3313J-1-100E,105.55,-104.75,90.0,top
ROC1,10 MΩ,R_0402_1005Metric,97.8,-110.11,-90.0,top
ROC2,4.42 MΩ,R_0402_1005Metric,97.8,-108.09,-90.0,top
ROC12,5.62 MΩ,R_0402_1005Metric,100.085,-113.225,0.0,top
ROK1,4.42 MΩ,R_0402_1005Metric,102.475,-106.475,-90.0,top
ROK2,4.22 MΩ,R_0402_1005Metric,102.55,-109.24,90.0,top
ROK3,1.43 MΩ,R_0402_1005Metric,101.35,-112.175,0.0,top
ROK4,100 Ω,R_0402_1005Metric,102.4,-103.59,-90.0,top
ROV1,5.9 MΩ,R_0402_1005Metric,99.925,-110.115,-90.0,top
ROV2,4.02 MΩ,R_0402_1005Metric,99.7,-108.1,-90.0,top
RUV1,5.6 MΩ,R_0402_1005Metric,101.375,-110.365,-90.0,top
RUV2,4.42 MΩ,R_0402_1005Metric,100.775,-108.15,90.0,top
S1,SKTAACE010,SKTAACE010,105.525,-99.975,90.0,top
U1,BQ25504RGTR,RGT16_1P7X1P7,99.524999,-104.849999,0.0,top
